phase,shard,slice,num_samples,acc,f1,train_loss,wall_clock,gpu_mem_gb
baseline,7,2,750,0.496,0.47855464121164887,1.1241814521153768,14.415266990661621,0.021714210510253906
baseline,8,0,750,0.355,0.3033069206758028,1.5603205169041952,14.416255712509155,0.021714210510253906
baseline,8,1,750,0.4162,0.39560315281652975,1.3076030120849609,14.538922548294067,0.021714210510253906
baseline,8,2,750,0.4506,0.4300237624376917,1.1794212624231974,14.433250188827515,0.021714210510253906
baseline,9,0,750,0.3456,0.2911754956511655,1.5503375371297201,14.466197490692139,0.021714210510253906
baseline,9,1,750,0.4398,0.42100566195901085,1.3122800006866455,14.430737733840942,0.021714210510253906
baseline,9,2,750,0.4912,0.46983490978698,1.084258152325948,14.441088199615479,0.021714210510253906
baseline,10,0,750,0.364,0.35230101558581456,1.4688635473251344,14.441936731338501,0.021714210510253906
baseline,10,1,750,0.4398,0.42351059729684476,1.2529243714014688,14.427561044692993,0.021714210510253906
baseline,10,2,750,0.4956,0.48424996996482794,0.9983906523386638,14.81184458732605,0.021714210510253906
baseline,11,0,750,0.3446,0.30539510262210473,1.4995774723688762,14.479613780975342,0.021714210510253906
baseline,11,1,750,0.4258,0.40349692563459405,1.269893295288086,14.566294193267822,0.021714210510253906
baseline,11,2,750,0.4658,0.4460813049729625,1.0771646302541098,14.414700031280518,0.021714210510253906
baseline,12,0,750,0.3688,0.34075065659874676,1.5233548208872478,14.437682628631592,0.021714210510253906
baseline,12,1,750,0.4458,0.4272381223434295,1.3037969783147176,14.41169285774231,0.021714210510253906
baseline,12,2,750,0.486,0.47037409587255563,1.1110028193791708,14.44279670715332,0.021714210510253906
baseline,13,0,750,0.3656,0.34454138872240214,1.5237559423446656,14.815988540649414,0.021714210510253906
baseline,13,1,750,0.426,0.3864624246578415,1.2499884389241536,14.475107908248901,0.021714210510253906
baseline,13,2,750,0.5018,0.4861781654027117,1.1303286673227946,14.476431369781494,0.021714210510253906
baseline,14,0,750,0.3202,0.27702395086373655,1.5077113281885783,14.508166074752808,0.021714210510253906
baseline,14,1,750,0.4114,0.3994057641251207,1.3456967992782594,14.47069239616394,0.021714210510253906
baseline,14,2,750,0.4842,0.4639506905078476,1.1988757139841715,14.883781671524048,0.021714210510253906
baseline,15,0,750,0.3108,0.28463734353876996,1.5427016576131185,20.130234003067017,0.021714210510253906
baseline,15,1,750,0.3888,0.37581106184678714,1.3005611769358316,15.278545618057251,0.021714210510253906
baseline,15,2,750,0.4588,0.4384373200683687,1.1793159112930298,14.441118717193604,0.021714210510253906
baseline,16,0,750,0.3608,0.32058330711204874,1.5651802543004354,14.38193154335022,0.021714210510253906
baseline,16,1,750,0.4382,0.4198453320616665,1.225419773419698,14.469722986221313,0.021714210510253906
baseline,16,2,750,0.478,0.455961894326928,1.1731647208531697,14.482988595962524,0.021714210510253906
baseline,17,0,750,0.3574,0.3449826823423853,1.6085013198852538,14.46060562133789,0.021714210510253906
baseline,17,1,750,0.4266,0.4000089111552348,1.3879136695861816,14.659266710281372,0.021714210510253906
baseline,17,2,750,0.4694,0.43845597095914657,1.1677049121856689,14.431990385055542,0.021714210510253906
baseline,18,0,750,0.3368,0.3054351250257508,1.5094964679082234,14.399063110351562,0.021714210510253906
baseline,18,1,750,0.4222,0.4005210621949565,1.354131567955017,14.421903371810913,0.021714210510253906
baseline,18,2,750,0.4898,0.4669605705668165,1.1843812452952067,14.439952611923218,0.021714210510253906
baseline,19,0,750,0.3216,0.31295697190030247,1.4999396788279216,14.382112741470337,0.021714210510253906
baseline,19,1,750,0.4372,0.4219482035067765,1.1978223266601562,23.75079035758972,0.021714210510253906
baseline,19,2,750,0.4786,0.4617068245703579,1.107579960823059,16.479453563690186,0.021714210510253906
deletion,0,1,748,0.4224,0.3990522952641287,1.25201937604078,16.94926881790161,0.021691322326660156
deletion,0,2,749,0.4718,0.45457546763793116,1.1880535277250772,14.330687761306763,0.02170276641845703
deletion,1,0,749,0.3724,0.3405518682257488,1.5403287584218228,14.612636089324951,0.02170276641845703
deletion,1,1,750,0.4184,0.4034001879433139,1.2173136971791585,14.492451667785645,0.021714210510253906
deletion,1,2,750,0.4746,0.45778060570827755,1.136773663520813,14.521758556365967,0.021714210510253906
deletion,3,0,749,0.3644,0.3362784353165545,1.5084172431553635,14.47935962677002,0.02170276641845703
deletion,3,1,750,0.4266,0.3961958306974624,1.2021586796442667,14.494389772415161,0.021714210510253906
deletion,3,2,750,0.4568,0.44419329076334235,1.166363047281901,14.54645848274231,0.021714210510253906
deletion,4,1,749,0.4236,0.40769260526987794,1.272119207121183,14.507481813430786,0.02170276641845703
deletion,4,2,750,0.4716,0.454700116229003,1.1882297738393148,14.51173710823059,0.021714210510253906
deletion,8,0,749,0.3442,0.3086492095614396,1.5711094691692908,14.936816930770874,0.02170276641845703
deletion,8,1,750,0.4286,0.40957173596639307,1.2549867626825968,14.539045810699463,0.021714210510253906
deletion,8,2,750,0.467,0.44732788977388066,1.1227970212300618,14.540138721466064,0.021714210510253906
deletion,14,1,749,0.4326,0.422574927675276,1.336181420350425,14.539135217666626,0.02170276641845703
deletion,14,2,750,0.4756,0.45771716370679405,1.1870239340464275,14.539057970046997,0.021714210510253906
deletion,18,1,749,0.4244,0.40127224984370685,1.330967285286123,14.553261280059814,0.02170276641845703
deletion,18,2,750,0.487,0.46016950321094946,1.252064977645874,14.807568311691284,0.021714210510253906
deletion,0,0,739,0.349,0.3166669031773246,1.5348146681211314,16.733303546905518,0.021587848663330078
deletion,0,1,744,0.423,0.3933330252965001,1.2994380676618187,14.1924307346344,0.021645545959472656
deletion,0,2,740,0.4624,0.44017813112280174,1.1877074937562684,14.188892126083374,0.021599292755126953
deletion,1,0,741,0.3606,0.32700155060498765,1.5290773769139279,14.287050485610962,0.021610736846923828
deletion,1,1,741,0.4186,0.40298718702912134,1.2553116266544049,14.320977687835693,0.021610736846923828
deletion,1,2,742,0.4746,0.4492771820238808,1.1603860546636453,14.375833749771118,0.021622180938720703
